x_sample [mm],y_sample [mm],theta1 [rad],theta2 [rad],Fx [N],Fy [N]
-250.0,-10.0,0.6124047441430394,0.2893650157465024,0.13137958917173662,0.39365518356686935
-250.0,0.0,0.6516341110722017,0.29072455097737304,0.14709235194258033,0.3878000000000001
-240.0,-270.0,0.34610025352123563,-0.718010299887039,-0.3659699855180501,0.417242099625527
-240.0,-260.0,0.31174726354888094,-0.6168146975304502,-0.34391716675571704,0.4232564026813066
-240.0,-250.0,0.2844010536389865,-0.5276288401174738,-0.32243147243185777,0.42809221621681487
-240.0,-240.0,0.262479110881803,-0.4473415881257561,-0.3013363095916012,0.43199702374173204
-240.0,-230.0,0.24503529517080835,-0.37406296907943637,-0.28052617878923186,0.43512074532698614
-240.0,-220.0,0.23146173113918866,-0.30655232096780916,-0.25993355907963833,0.43756090417699817
-240.0,-210.0,0.22134949769912726,-0.24395144275584868,-0.23951361882211736,0.43938391686398065
-240.0,-200.0,0.21441537968034696,-0.1856447585266685,-0.2192363234201736,0.44063639714985536
-240.0,-190.0,0.21045982526322238,-0.1311795951072472,-0.19908203310260458,0.4413517237937714
-240.0,-180.0,0.20934106217026094,-0.08021769824466429,-0.1790389080678414,0.4415541522824522
-240.0,-170.0,0.21095817688729035,-0.032504182497370415,-0.15910131599890304,0.44126156783411047
-240.0,-160.0,0.21523943272094526,0.01215323013495162,-0.13926882248811598,0.44048745167458925
-240.0,-150.0,0.22213377524997524,0.053898624329628886,-0.11954552860885526,0.43924237795279886
-240.0,-140.0,0.23160433902106736,0.09283825001568569,-0.0999396130601886,0.43753522571489006
-240.0,-130.0,0.24362324561235482,0.12904821794948185,-0.08046298600350309,0.43537421591476927
-240.0,-120.0,0.2581672610147394,0.1625804103315185,-0.06113098946566629,0.4327678386005002
-240.0,-110.0,0.2752140519507493,0.19346717694805693,-0.04196209567067305,0.4297257061509414
-240.0,-100.0,0.2947388930952157,0.22172519565608195,-0.022977565580969184,0.42625934767459617
-240.0,-90.0,0.31671175462128875,0.24735875144616148,-0.004201038560279215,0.4223829438732287
-240.0,-80.0,0.34109475480404416,0.2703626036829365,0.014341967602026016,0.4181139892006753
-240.0,-70.0,0.36784000186387455,0.29072455097737304,0.03262465786487738,0.41347385854392266
-240.0,-60.0,0.3968878754738101,0.3084277586142701,0.0506196632572939,0.4084882491476568
-240.0,-50.0,0.4281658120780878,0.3234528795503324,0.06829983533441913,0.4031874656946707
-240.0,-40.0,0.461587659268512,0.33577997407946114,0.08563910808189235,0.3976065180136486
-240.0,-30.0,0.49705365295237147,0.3453902141265561,0.1026133913768388,0.39178500725543813
-240.0,-20.0,0.5344510477655704,0.35226734536050364,0.11920144993335693,0.38576678749444643
-240.0,-10.0,0.5736553982884844,0.3563988737958934,0.1353857151843595,0.3795994047993483
-240.0,0.0,0.6145324497121285,0.35777694309008945,0.15115297622680887,0.3733333333333332
-230.0,-280.0,0.315658404037392,-0.7342736241627179,-0.3841404451404248,0.4025681537420916
-230.0,-270.0,0.27765631649693834,-0.6277763987106925,-0.3620854096412391,0.40929104085593676
-230.0,-260.0,0.2472208150207389,-0.5343941122657836,-0.3406246918410014,0.4147286092232158
